"Customer","FamilyMembers","Lifestage","Model","f1"
"50282366","(3, 8)","ActiveAdults","Baseline",0.538461538461538
"50514112","(3, 8)","FamilyWithKids","Baseline",0
"50728612","(3, 8)","ActiveAdults","Baseline",0.474576271186441
"50745069","(3, 8)","FamilyWithKids","Baseline",0
"50800943","(1, 2)","FamilyWithKids","Baseline",0.421052631578947
"50836946","(3, 8)","ActiveAdults","Baseline",0.685714285714286
"50849946","(1, 2)","ActiveAdults","Baseline",0
"50967359","(3, 8)","FamilyWithKids","Baseline",0.5
"51078948","(3, 8)","ActiveAdults","Baseline",0.285714285714286
"51101589","(1, 2)","FamilyWithKids","Baseline",0.344827586206897
"51136114","(3, 8)","ActiveAdults","Baseline",0.37037037037037
"51136225","(1, 2)","FamilyWithKids","Baseline",0
"51274788","(3, 8)","ActiveAdults","Baseline",0.16
"51327660","(3, 8)","FamilyWithKids","Baseline",0.222222222222222
"51349560","(1, 2)","ActiveAdults","Baseline",0.423076923076923
"51376374","(1, 2)","FamilyWithKids","Baseline",0.72093023255814
"51480876","(3, 8)","ActiveAdults","Baseline",0.25
"53499938","(3, 8)","ActiveAdults","Baseline",0.5
"53814005","(1, 2)","FamilyWithKids","Baseline",0.456140350877193
"54246765","(3, 8)","ActiveAdults","Baseline",0.142857142857143
"54706275","(3, 8)","FamilyWithKids","Baseline",0.37037037037037
"55031571","(3, 8)","FamilyWithKids","Baseline",0.6
"58104487","(1, 2)","ActiveAdults","Baseline",0.463414634146341
"58112970","(1, 2)","ActiveAdults","Baseline",0.518518518518518
"58113416","(3, 8)","FamilyWithKids","Baseline",0.489795918367347
"58139794","(3, 8)","FamilyWithKids","Baseline",0.162162162162162
"58149188","(1, 2)","FamilyWithKids","Baseline",0.294117647058823
"58156906","(3, 8)","ActiveAdults","Baseline",0.52
"58156989","(1, 2)","ActiveAdults","Baseline",0.363636363636364
"58157344","(3, 8)","ActiveAdults","Baseline",0.607142857142857
"58158708","(3, 8)","FamilyWithKids","Baseline",0.523076923076923
"58160608","(3, 8)","ActiveAdults","Baseline",0.242424242424242
